symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,CarBrand,Actual,Linear_Regression_Predicted,Ridge_Regression_Predicted,Lasso_Regression_Predicted,Random_Forest_Predicted,SVR_Predicted,XGBoost_Predicted
0.0,1.0,0.0,4.0,3.0,2.0,0.0,103.5,189.0,66.9,55.7,3230.0,3.0,6.0,209.0,5.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,3.0,30760.0,25906.599508104773,27451.91670374052,25915.85405205973,35438.905,23363.660478586797,36955.34765625
0.0,1.0,1.0,2.0,2.0,0.0,0.0,99.5,178.2,67.9,52.0,3053.0,3.0,5.0,131.0,5.0,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,2.0,17859.167,17368.7924498644,17528.456375932314,17376.07280299299,19460.79,16744.03122427151,19875.384765625
0.0,1.0,0.0,4.0,3.0,1.0,0.0,97.2,173.4,65.2,54.7,2302.0,3.0,4.0,120.0,1.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,14.0,9549.0,9872.38521741092,10491.954872486058,9877.752772895255,8989.85,9792.672272791788,8446.5771484375
3.0,1.0,0.0,2.0,2.0,1.0,0.0,99.1,186.6,66.5,56.1,2658.0,3.0,4.0,121.0,5.0,3.54,3.07,9.31,110.0,5250.0,21.0,28.0,20.0,11850.0,13320.528875753575,13694.122166052774,13322.303132229237,12832.235,13807.335540253276,12161.556640625
-1.0,0.0,1.0,4.0,4.0,2.0,0.0,110.0,190.9,70.3,58.7,3750.0,3.0,5.0,183.0,3.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,4.0,28248.0,26305.55466250643,25756.86015573478,26298.444774565476,27651.0,22858.71922383347,32218.90625
1.0,1.0,0.0,2.0,2.0,1.0,0.0,94.5,165.6,63.8,53.3,2028.0,3.0,4.0,97.0,1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,14.0,7799.0,6133.263005132016,6081.56677845645,6132.941707718477,6546.18,6640.7713144179925,6701.740234375
0.0,0.0,0.0,4.0,2.0,1.0,0.0,95.7,166.3,64.4,52.8,2275.0,3.0,4.0,110.0,3.0,3.27,3.35,22.5,56.0,4500.0,38.0,47.0,22.0,7788.0,8420.37076751102,9342.728136636892,8428.48746714073,7901.44,7777.127828257216,7922.67529296875
0.0,1.0,0.0,4.0,3.0,1.0,0.0,95.7,166.3,64.4,52.8,2140.0,3.0,4.0,98.0,1.0,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,22.0,9258.0,5942.154766553489,5824.112606336646,5942.424367709114,8074.01,7035.617266455785,7931.2099609375
0.0,1.0,0.0,4.0,4.0,1.0,0.0,97.0,173.5,65.4,53.0,2455.0,4.0,4.0,108.0,5.0,3.62,2.64,9.0,94.0,5200.0,25.0,31.0,21.0,10198.0,9567.597122156469,9700.554567744162,9570.33722904847,9665.18,11556.41598550713,9242.1572265625
2.0,0.0,0.0,2.0,3.0,1.0,0.0,97.3,171.7,65.5,55.7,2261.0,3.0,4.0,97.0,3.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,24.0,7775.0,6884.537197975384,7272.420832589858,6888.729975788941,8145.845,7347.6470225310795,7856.4814453125
